antibiotic,gene,mean_abs_shap,prevalence_pct,n_present,median_log2_mic_present,median_log2_mic_absent,effect,in_amrrules,n_training
ampicillin,blaTEM-1,0.6007,17.8,1074,5.0,2.0,resistance,False,6040
ampicillin,blaCMY-2,0.3754,9.8,592,5.0,2.0,resistance,False,6040
ampicillin,blaHER-3,0.1405,3.0,179,5.0,2.0,resistance,False,6040
ampicillin,blaCTX-M-1,0.1222,2.7,161,5.0,2.0,resistance,False,6040
ampicillin,blaCTX-M-15,0.072,2.5,154,5.0,2.0,resistance,False,6040
ampicillin,blaCMY=PARTIAL_END_OF_CONTIG,0.07,1.4,82,5.0,2.0,resistance,False,6040
ampicillin,ampC_C-42T=POINT,0.0599,1.5,89,5.0,2.0,resistance,False,6040
ampicillin,cyaA_S352T=POINT,0.0496,19.0,1147,2.0,2.0,susceptibility,False,6040
ampicillin,blaCTX-M-55,0.0328,0.9,52,5.0,2.0,resistance,False,6040
ampicillin,aph(3'')-Ib,0.0325,20.4,1234,5.0,2.0,resistance,False,6040
ampicillin,sul2,0.0316,23.0,1389,5.0,2.0,resistance,False,6040
azithromycin,mdtM,0.083,90.2,4030,2.0,1.0,resistance,False,4467
azithromycin,cyaA_S352T=POINT,0.071,22.9,1024,2.0,2.0,susceptibility,False,4467
azithromycin,mph(A),0.0566,1.4,61,4.0,2.0,resistance,False,4467
cefazolin,blaCMY-2,0.4363,10.2,166,5.0,1.0,resistance,False,1635
cefazolin,blaTEM-1,0.0875,19.3,316,3.0,1.0,resistance,False,1635
cefazolin,blaCTX-M-15,0.0873,3.3,54,5.0,1.0,resistance,False,1635
cefazolin,blaCTX-M-1,0.0807,4.1,67,4.0,1.0,resistance,False,1635
cefazolin,marR_S3N=POINT,0.0783,14.6,239,1.0,1.0,susceptibility,False,1635
cefazolin,mdtM,0.0725,43.1,705,3.0,1.0,resistance,False,1635
cefazolin,ampC_T-32A=POINT,0.0684,1.8,29,3.0,1.0,resistance,False,1635
cefazolin,parE_L416F=POINT,0.0329,2.4,40,5.0,1.0,resistance,False,1635
cefepime,blaCTX-M-1,0.7267,28.4,147,3.0,0.0,resistance,False,517
cefepime,blaCTX-M-15,0.5986,18.4,95,4.0,1.0,resistance,False,517
cefepime,ampC_C-42T=POINT,0.4477,7.7,40,-3.06,2.0,susceptibility,False,517
cefepime,blaCTX-M-55,0.2795,5.4,28,5.0,2.0,resistance,False,517
cefepime,blaCMY-2,0.2707,9.1,47,0.0,2.0,susceptibility,False,517
cefepime,aadA5,0.1716,18.6,96,2.0,2.0,susceptibility,False,517
cefepime,blaSHV-12,0.1644,7.0,36,-1.0,2.0,susceptibility,False,517
cefepime,floR,0.0627,13.7,71,4.0,2.0,resistance,False,517
cefepime,gyrA_S83L=POINT,0.0625,17.6,91,3.0,2.0,resistance,False,517
cefepime,aph(6)-Id,0.0526,34.6,179,2.0,2.0,susceptibility,False,517
cefotaxime,blaCTX-M-1,1.3862,22.5,147,6.0,2.0,resistance,False,653
cefotaxime,blaCTX-M-15,1.0218,14.4,94,6.0,3.0,resistance,False,653
cefotaxime,blaCMY-2,0.3453,7.4,48,4.0,4.0,susceptibility,False,653
cefotaxime,blaCTX-M-55,0.3416,4.7,31,6.0,4.0,resistance,False,653
cefotaxime,floR,0.2973,27.0,176,-2.0,5.0,susceptibility,False,653
cefotaxime,blaSHV-12,0.2022,5.5,36,3.0,4.0,susceptibility,False,653
cefotaxime,aadA2,0.193,20.4,133,-2.0,5.0,susceptibility,False,653
cefotaxime,ampC_C-42T=POINT,0.1541,6.1,40,2.0,4.0,susceptibility,False,653
cefotaxime,tet(B),0.1261,18.5,121,3.0,4.0,susceptibility,False,653
cefotaxime,emrD,0.1226,17.0,111,6.0,3.0,resistance,False,653
cefotaxime,sul2,0.1188,45.9,300,5.0,2.0,resistance,False,653
cefotaxime,blaTEM-1,0.1143,33.7,220,2.5,4.0,susceptibility,False,653
cefovecin,blaCMY-2,0.4564,9.3,144,3.0,0.0,resistance,False,1554
cefovecin,marR_S3N=POINT,0.1484,16.3,254,-1.0,0.0,susceptibility,False,1554
cefovecin,blaCTX-M-15,0.1148,3.6,56,3.0,0.0,resistance,False,1554
cefovecin,ampC_T-32A=POINT,0.0598,1.9,29,1.0,0.0,resistance,False,1554
cefovecin,blaEC-5,0.0509,11.1,172,-1.0,0.0,susceptibility,False,1554
cefovecin,ampC_C-42T=POINT,0.0483,1.3,20,3.0,0.0,resistance,False,1554
cefoxitin,blaCMY-2,0.5288,10.3,459,5.0,2.0,resistance,False,4437
cefoxitin,ampC_C-42T=POINT,0.0813,1.6,72,5.0,2.0,resistance,False,4437
cefoxitin,blaCMY=PARTIAL_END_OF_CONTIG,0.0783,1.7,75,5.0,2.0,resistance,False,4437
cefpodoxime,blaCMY-2,0.4819,10.2,173,3.0,0.0,resistance,False,1696
cefpodoxime,blaCTX-M-1,0.2215,4.0,67,5.0,0.0,resistance,False,1696
cefpodoxime,aadA5,0.1186,9.3,157,3.0,0.0,resistance,False,1696
cefpodoxime,blaCTX-M-15,0.1176,3.5,59,3.0,0.0,resistance,False,1696
cefpodoxime,ampC_T-32A=POINT,0.0763,1.7,29,3.0,0.0,resistance,False,1696
cefpodoxime,tet(A),0.0639,10.7,181,3.0,0.0,resistance,False,1696
cefpodoxime,tet(B),0.058,10.4,177,3.0,0.0,resistance,False,1696
cefpodoxime,ampC_C-42T=POINT,0.0557,1.2,21,3.0,0.0,resistance,False,1696
cefpodoxime,dfrA17,0.0473,10.1,172,3.0,0.0,resistance,False,1696
cefpodoxime,blaCTX-M-14,0.0303,1.4,23,3.0,0.0,resistance,False,1696
ceftazidime,blaCMY-2,0.3398,8.4,171,4.0,2.0,resistance,False,2045
ceftazidime,blaCTX-M-15,0.1746,6.5,132,3.0,2.0,resistance,False,2045
ceftazidime,floR,0.1415,10.0,205,0.0,2.0,susceptibility,False,2045
ceftazidime,mdtM,0.1273,55.5,1135,2.0,2.0,susceptibility,False,2045
ceftazidime,tet(A),0.0968,21.1,431,2.0,2.0,susceptibility,False,2045
ceftazidime,blaSHV-12,0.0962,1.8,36,5.0,2.0,resistance,False,2045
ceftazidime,blaCTX-M-55,0.0797,2.3,47,3.0,2.0,resistance,False,2045
ceftazidime,tet(B),0.0786,11.8,242,2.0,2.0,susceptibility,False,2045
ceftazidime,aadA2,0.0747,8.7,178,0.0,2.0,susceptibility,False,2045
ceftazidime,ampC_C-42T=POINT,0.0658,2.8,58,3.0,2.0,resistance,False,2045
ceftazidime,qnrB19,0.0602,2.7,55,-2.0,2.0,susceptibility,False,2045
ceftazidime,blaCTX-M-1,0.0482,7.3,150,1.0,2.0,susceptibility,False,2045
ceftazidime,aph(3')-Ia,0.0437,7.2,148,2.0,2.0,susceptibility,False,2045
ceftazidime,aadA1,0.043,12.0,246,2.0,2.0,susceptibility,False,2045
ceftiofur,blaCMY-2,1.4011,26.8,368,3.0,-1.0,resistance,False,1371
ceftiofur,blaCMY=PARTIAL_END_OF_CONTIG,0.3198,5.1,70,3.0,-1.0,resistance,False,1371
ceftiofur,mdtM,0.0746,85.9,1178,-1.0,-1.0,susceptibility,False,1371
ceftiofur,sul2,0.0627,37.8,518,2.0,-1.0,resistance,False,1371
ceftiofur,mph(A),0.0377,2.0,28,2.0,-1.0,resistance,False,1371
ceftriaxone,blaCMY-2,1.0296,10.7,427,4.0,-2.0,resistance,False,3977
ceftriaxone,blaCTX-M-1,0.2358,1.9,75,6.0,-2.0,resistance,False,3977
ceftriaxone,blaCMY=PARTIAL_END_OF_CONTIG,0.1645,1.9,75,3.0,-2.0,resistance,False,3977
ceftriaxone,aadA5,0.0544,2.3,91,6.0,-2.0,resistance,False,3977
